"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Player Management","Checking Blocked Players Retrieval","0","0","1","0","0"
"","Chat Rules","Closing Chat Rules Modal","0","0","0","1","0"
"","Sending GIFs","Sending GIF in Chat","0","0","1","0","0"
"","Message Operations","Deleting Messages","1","0","0","0","0"
"","Message Unpinning","Message Unpinning by Moderator","0","0","1","0","0"
"","Sending URLs","Sending Allowed and Disallowed URLs","0","0","1","0","0"
"","Sending Messages","Sending Text Messages","0","0","1","0","0"
"","Guest Chat Functionality","Writing Text as Guest","0","0","1","0","0"
"","Spam Checking","Spam Checking Test","0","0","1","0","0"
"","Chat Rooms","Clicking Chat Room","0","0","1","0","0"
"","Chat Functionality","Clicking Chat Button to Close","0","0","1","0","0"
"","Channel Operations","Checking Matrix Channel Retrieval","0","0","1","0","0"
"","Player Blocking","Player Blocking Test","0","0","1","0","0"
"","Chat Functionality","Showing Chat Details","0","0","1","0","0"
"","Message Pinning","Message Pinning by Moderator","0","0","1","0","0"
"","Sending Complaints","Filing Complaint on Message","0","0","1","0","0"
"","Chat Functionality","Showing Chat Messages","0","0","1","0","0"
"","Sending Symbols","Sending Disallowed Symbol","0","0","1","0","0"
"","Chat Rules","Opening Chat Rules in Different Locales","0","0","1","0","0"
"","Reaction to Message","Setting reaction","0","0","1","0","0"
"","Channel Operations","Checking Channel Retrieval","0","0","1","0","0"
"","Tagging Players","Tagging player in chat","0","0","1","0","0"
"","User Management","Unblocking Players","0","0","1","0","0"
"","Chat Functionality","Clicking Chat Button","0","0","1","0","0"
"","Sending Messages","Sending Emoji","0","0","1","0","0"
